图表：2025年1月份我国新能源汽车产销量同比较快增长  2025-2-17,中央政府网站,新能源汽车,2025-2-17,,https://www.gov.cn/zhengce/202502/content_7004282.htm,2025-02-19 08:19:43
关于开展机动车安全隐患大检查工作的通知,公安部网站,机动车维修,2013-11-04,,http://www.mps.gov.cn/n6557558/c4202627/content.html,2025-02-19 08:30:29
云南打洛边防派出所“打四黑除四害”取得实效,公安部网站,机动车维修,2011-09-20,,http://www.mps.gov.cn/n2255079/n2256131/n2256134/c3620348/content.html,2025-02-19 08:30:29
关于进一步加强和改进道路客运安全工作的通知,公安部网站,机动车维修,2010-10-13,,https://app.mps.gov.cn/gdnps/pc/content.jsp?id=7430028,2025-02-19 08:30:29
江苏苏州松陵派出所：高标准打造家门口的警务工作站,公安部网站,机动车维修,2024-10-28,,http://www.mps.gov.cn/n2255079/n5137689/n5414444/n5414452/c9832317/content.html,2025-02-19 08:30:29
北京警方全链条整治飙车扰民行为,公安部网站,机动车维修,2024-06-19,,http://www.mps.gov.cn/n2255079/n4242954/n4841045/n4841055/c9622231/content.html,2025-02-19 08:30:29
关于深化机动车检验制度改革优化车检服务工作的意见,公安部网站,机动车维修,2022-09-15,,http://www.mps.gov.cn/n6557558/c8694888/content.html,2025-02-19 08:30:59
《公安机关人民警察内务条令》（公安部令第161号）,公安部网站,机动车维修,2021-12-28,,http://www.mps.gov.cn/n6557558/c8289744/content.html,2025-02-19 08:31:00
关于开展货车非法改装专项整治工作的通知,公安部网站,机动车维修,2020-07-24,,http://www.mps.gov.cn/n6557558/c7287605/content.html,2025-02-19 08:31:00
国务院关于第五批取消和下放管理层级行政审批项目的决定,公安部网站,机动车维修,2010-07-09,,http://www.mps.gov.cn/n6557558/c3618802/content.html,2025-02-19 08:31:00
关于加强“五一”黄金周期间道路交通管理工作的通知,公安部网站,机动车维修,2006-04-30,,http://www.mps.gov.cn/n6557558/c3618411/content.html,2025-02-19 08:31:00
高速公路交通管理办法（公安部令第20号）,公安部网站,机动车维修,1994-12-01,,http://www.mps.gov.cn/n6557558/c7684617/content.html,2025-02-19 08:31:00
陕西全链条整治电动自行车安全隐患,公安部网站,电池回收,2024-06-19,,http://www.mps.gov.cn/n2255079/n4242954/n4841045/n4841055/c9622406/content.html,2025-02-19 08:35:05
严厉惩治危险废物污染环境犯罪 切实打好污染防治攻坚战,公安部网站,电池回收,2023-05-29,,http://www.mps.gov.cn/n6557563/c9060073/content.html,2025-02-19 08:35:05
《中国应对气候变化的政策与行动》白皮书（全文）,公安部网站,电池回收,2021-10-29,,http://www.mps.gov.cn/n2255079/n6865805/n7355741/n7355780/c8188664/content.html,2025-02-19 08:35:05
湖北天门破获非法制售 铅锭污染环境案,公安部网站,电池回收,2021-06-07,,http://www.mps.gov.cn/n2255079/n4242954/n4841045/n4841074/c7921773/content.html,2025-02-19 08:35:05
浙江五个月破获四百一十二起污染环境案,公安部网站,电池回收,2014-06-13,,http://www.mps.gov.cn/n2253534/n4904351/c5072672/content.html,2025-02-19 08:35:05
